都道府県,自転車盗URL（代表）,備考,ステータス
北海道,https://www.harp.lg.jp/opendata/dataset/bunya/kurashi/,ポータル経由（個別URL未確認）,調査中
青森県,https://www.police.pref.aomori.jp/seianbu/seian_kikaku/hanyoku/csv/2024/aomori_2024zitensyatou.csv,車上ねらいのみ syajyounerai（表記差異）,URL確認済
岩手県,https://www.pref.iwate.jp/_res/projects/project_kenkei/_page_/003/000/711/s_opendata_2024/iwate_2024zitensyatou.csv,標準形式,URL確認済
宮城県,https://www.police.pref.miyagi.jp/seian/csv/miyagi_2024zitensyatou.csv,標準形式,URL確認済
秋田県,https://www.police.pref.akita.lg.jp/kenkei/statistics,ページURL（個別CSV未確認）,調査中
山形県,https://www.pref.yamagata.jp/documents/1566/yamagata_2024zitensyatou.csv,標準形式,URL確認済
福島県,http://www.police.pref.fukushima.jp/seianki/homepage/top_page/R04custom.crime_open_data.html,ページURL（個別CSV未確認）,調査中
茨城県,https://www.ibaraki-opendata.jp/index.php,ポータル経由（個別URL未確認）,調査中
栃木県,http://odcs.bodik.jp/090000/,BODIKポータル,BODIK
群馬県,https://www.pref.gunma.jp/uploaded/attachment/667807.csv,連番ID方式（手口ごとに異なるID）,連番ID
埼玉県,https://www.police.pref.saitama.lg.jp/documents/33251/saitama_2024zitensyatou.csv,標準形式,実装済
千葉県,https://www.police.pref.chiba.jp/content/common/000067003.csv,連番ID方式（実装済）,実装済
東京都,https://www.keishicho.metro.tokyo.lg.jp/about_mpd/jokyo_tokei/jokyo/ninchikensu.files/R7.csv,警視庁集計表（別フォーマット）,実装済
神奈川県,https://www.police.pref.kanagawa.jp/assets/entry/kanagawa_2024zitensyatou.csv,標準形式,実装済
新潟県,https://www.pref.niigata.lg.jp/uploaded/attachment/455868.csv,連番ID方式（hittakuri=455862〜zitensyatou=455868）,連番ID
富山県,https://opendata.pref.toyama.jp/dataset/settou2024,ポータルURL（個別CSV未確認）,調査中
石川県,https://www2.police.pref.ishikawa.lg.jp/security/security24/,ページURL（個別CSV未確認）,調査中
福井県,https://www.pref.fukui.lg.jp/kenkei/doc/kenkei/naka2-naka1600.html,ページURL（個別CSV未確認）,調査中
山梨県,https://www.pref.yamanashi.jp/documents/94920/yamanashi_2024zitensyatou.csv,オートバイ盗のみ ootobaiou（typo）,URL確認済
長野県,https://www.pref.nagano.lg.jp/police/toukei/hanzai/documents/nagano_2024zitensyatou.csv,車上ねらいのみ nagano_20224（typo）,URL確認済
静岡県,https://www.pref.shizuoka.jp/_res/projects/project_police/_page_/002/001/145/shizuoka_2024_zitensyatou.csv,2024年ファイル404→2023年フォールバック実装済,実装済
愛知県,https://www.pref.aichi.jp/police/anzen/toukei/opendata/seian-s/images/aichi-2024zitensyatou.csv,標準形式,実装済
三重県,http://www.police.pref.mie.jp/safety_info/op_data_index.html,ページURL（個別CSV未確認）,調査中
滋賀県,https://www.pref.shiga.lg.jp/police/seikatu/seikatu/anmachi/306453.html,ページURL（個別CSV未確認）,調査中
京都府,https://data.bodik.jp/organization/260002,BODIKポータル,BODIK
大阪府,https://www.police.pref.osaka.lg.jp/material/files/group/2/osaka_2024zitensyatou.csv,タブ区切り,実装済
